modality,cluster,n,outcome,rate_in_cluster,pval,qval,sig
BAL_counts,0,2,ACR,,,,
BAL_counts,1,128,ACR,0.7265625,0.7545944108370707,0.7545944108370707,
BAL_counts,2,1,ACR,,,,
BAL_counts,3,1,ACR,,,,
BAL_counts,4,1,ACR,,,,
BAL_counts,5,1,ACR,,,,
BAL_counts,0,2,CLAD,,,,
BAL_counts,1,128,CLAD,0.28125,0.5456209533766845,0.5456209533766845,
BAL_counts,2,1,CLAD,,,,
BAL_counts,3,1,CLAD,,,,
BAL_counts,4,1,CLAD,,,,
BAL_counts,5,1,CLAD,,,,
BAL_counts,0,2,Death,,,,
BAL_counts,1,128,Death,0.234375,0.7072205002237915,0.7072205002237915,
BAL_counts,2,1,Death,,,,
BAL_counts,3,1,Death,,,,
BAL_counts,4,1,Death,,,,
BAL_counts,5,1,Death,,,,
