modality,cluster,n,outcome,rate_in_cluster,pval,qval,sig
HE_counts,0,4,ACR,1.0,0.5140325046228872,0.5140325046228872,
HE_counts,1,1,ACR,,,,
HE_counts,2,1,ACR,,,,
HE_counts,3,621,ACR,0.9049919484702094,0.3350078236612628,0.5140325046228872,
HE_counts,4,1,ACR,,,,
HE_counts,5,2,ACR,,,,
HE_counts,6,2,ACR,,,,
HE_counts,0,4,CLAD,0.5,0.17231351671057138,0.24018651453166961,
HE_counts,1,1,CLAD,,,,
HE_counts,2,1,CLAD,,,,
HE_counts,3,621,CLAD,0.21578099838969403,0.24018651453166961,0.24018651453166961,
HE_counts,4,1,CLAD,,,,
HE_counts,5,2,CLAD,,,,
HE_counts,6,2,CLAD,,,,
HE_counts,0,4,Death,0.25,0.6677275942901747,0.6677275942901747,
HE_counts,1,1,Death,,,,
HE_counts,2,1,Death,,,,
HE_counts,3,621,Death,0.16586151368760063,0.08342496841609241,0.16684993683218483,
HE_counts,4,1,Death,,,,
HE_counts,5,2,Death,,,,
HE_counts,6,2,Death,,,,
