view,factor,r2
BAL_counts,Factor1,0.010714508900966679
BAL_counts,Factor2,0.008504850672387276
BAL_counts,Factor3,0.008333217233932535
BAL_counts,Factor4,0.0068119892096607975
BAL_counts,Factor5,0.006495831706866086
BAL_counts,Factor6,0.005770598021488331
BAL_counts,Factor7,0.00500133266891523
BAL_counts,Factor8,0.0049079639900768395
BAL_counts,Factor9,0.004630142199665752
BAL_counts,Factor10,0.004338983832917299
BAL_counts,Factor11,0.004209487475929331
BAL_counts,Factor12,0.004144463945296668
BAL_counts,Factor13,0.004119809725954051
BAL_counts,Factor14,0.003942309988304685
BAL_counts,Factor15,0.0037733827884595095
HE_counts,Factor1,0.010714508900966679
HE_counts,Factor2,0.008504850672387276
HE_counts,Factor3,0.008333217233932535
HE_counts,Factor4,0.0068119892096607975
HE_counts,Factor5,0.006495831706866086
HE_counts,Factor6,0.005770598021488331
HE_counts,Factor7,0.00500133266891523
HE_counts,Factor8,0.0049079639900768395
HE_counts,Factor9,0.004630142199665752
HE_counts,Factor10,0.004338983832917299
HE_counts,Factor11,0.004209487475929331
HE_counts,Factor12,0.004144463945296668
HE_counts,Factor13,0.004119809725954051
HE_counts,Factor14,0.003942309988304685
HE_counts,Factor15,0.0037733827884595095
CT_counts,Factor1,0.010714508900966679
CT_counts,Factor2,0.008504850672387276
CT_counts,Factor3,0.008333217233932535
CT_counts,Factor4,0.0068119892096607975
CT_counts,Factor5,0.006495831706866086
CT_counts,Factor6,0.005770598021488331
CT_counts,Factor7,0.00500133266891523
CT_counts,Factor8,0.0049079639900768395
CT_counts,Factor9,0.004630142199665752
CT_counts,Factor10,0.004338983832917299
CT_counts,Factor11,0.004209487475929331
CT_counts,Factor12,0.004144463945296668
CT_counts,Factor13,0.004119809725954051
CT_counts,Factor14,0.003942309988304685
CT_counts,Factor15,0.0037733827884595095
Clinical,Factor1,0.010714508900966679
Clinical,Factor2,0.008504850672387276
Clinical,Factor3,0.008333217233932535
Clinical,Factor4,0.0068119892096607975
Clinical,Factor5,0.006495831706866086
Clinical,Factor6,0.005770598021488331
Clinical,Factor7,0.00500133266891523
Clinical,Factor8,0.0049079639900768395
Clinical,Factor9,0.004630142199665752
Clinical,Factor10,0.004338983832917299
Clinical,Factor11,0.004209487475929331
Clinical,Factor12,0.004144463945296668
Clinical,Factor13,0.004119809725954051
Clinical,Factor14,0.003942309988304685
Clinical,Factor15,0.0037733827884595095
