variant,task,modality,metric,mean,std,count,mean_std
early,acr_surv,BAL,c_index,0.44335404674690393,0.20662485264285152,5,0.443 ± 0.207
early,acr_surv,CT,c_index,0.5158307658147767,0.06073779633301159,5,0.516 ± 0.061
early,acr_surv,Clinical,c_index,0.6049718014623328,0.09785093063696938,5,0.605 ± 0.098
early,acr_surv,HE,c_index,0.6436199683405175,0.1497092846495829,5,0.644 ± 0.150
early,clad_surv,BAL,c_index,0.6092105263157894,0.17931544317908465,4,0.609 ± 0.179
early,clad_surv,CT,c_index,0.45340892824609175,0.065278512756972,5,0.453 ± 0.065
early,clad_surv,Clinical,c_index,0.6163390550561896,0.03422999480086989,5,0.616 ± 0.034
early,clad_surv,HE,c_index,0.48521424986122863,0.07828065389870524,5,0.485 ± 0.078
early,cls,BAL,bacc,0.48279030910609855,0.10056619783275757,5,0.483 ± 0.101
early,cls,CT,bacc,0.5539792885396725,0.06648135216599424,5,0.554 ± 0.066
early,cls,Clinical,bacc,0.5284251603144325,0.07023785937872934,5,0.528 ± 0.070
early,cls,HE,bacc,0.6238289841818881,0.10943330731818206,5,0.624 ± 0.109
early,death_surv,BAL,c_index,0.6418298633199392,0.11372476462202272,5,0.642 ± 0.114
early,death_surv,CT,c_index,0.6485578213520506,0.0590793872980828,5,0.649 ± 0.059
early,death_surv,Clinical,c_index,0.5494840066303855,0.04820131495738363,5,0.549 ± 0.048
early,death_surv,HE,c_index,0.5579370637148726,0.10423455526479083,5,0.558 ± 0.104
late,acr_surv,BAL,c_index,0.4725158076050933,0.1677384426123166,5,0.473 ± 0.168
late,acr_surv,CT,c_index,0.5993922796573549,0.09672833318567314,5,0.599 ± 0.097
late,acr_surv,Clinical,c_index,0.5918001630135489,0.090361875406883,5,0.592 ± 0.090
late,acr_surv,HE,c_index,0.6753765314861407,0.08457028380261548,5,0.675 ± 0.085
late,clad_surv,BAL,c_index,0.5839181286549707,0.20112567838934686,4,0.584 ± 0.201
late,clad_surv,CT,c_index,0.5177647460535212,0.11744063436678671,5,0.518 ± 0.117
late,clad_surv,Clinical,c_index,0.5880805911704005,0.04470373266175652,5,0.588 ± 0.045
late,clad_surv,HE,c_index,0.4787416056426025,0.09059080094326981,5,0.479 ± 0.091
late,cls,BAL,bacc,0.4434837092731829,0.08106762206324437,5,0.443 ± 0.081
late,cls,CT,bacc,0.5466441870379251,0.07266331748809868,5,0.547 ± 0.073
late,cls,Clinical,bacc,0.5004456942121168,0.027482663109085002,5,0.500 ± 0.027
late,cls,HE,bacc,0.6543552968386862,0.089326036258927,5,0.654 ± 0.089
