split,variant,task,modality,metric,value,n,auc
0,early,acr_surv,HE,c_index,0.6792452830188679,220,
0,early,acr_surv,BAL,c_index,0.46938775510204084,48,
0,early,acr_surv,CT,c_index,0.5329106843184784,437,
0,early,acr_surv,Clinical,c_index,0.5100495226197912,897,
0,early,clad_surv,HE,c_index,0.579734219269103,115,
0,early,clad_surv,BAL,c_index,0.5368421052631579,28,
0,early,clad_surv,CT,c_index,0.43417684487676445,332,
0,early,clad_surv,Clinical,c_index,0.6015991809933985,642,
0,early,cls,HE,bacc,0.6348464619492656,121,0.7516688918558077
0,early,cls,BAL,bacc,0.5,25,0.380952380952381
0,early,cls,CT,bacc,0.5234962406015038,97,0.5269423558897244
0,early,cls,Clinical,bacc,0.4960674157303371,297,0.624656679151061
0,early,death_surv,HE,c_index,0.5356928614277144,117,
0,early,death_surv,BAL,c_index,0.6195652173913043,32,
0,early,death_surv,CT,c_index,0.5764032043420401,375,
0,early,death_surv,Clinical,c_index,0.465311755112282,683,
0,late,acr_surv,HE,c_index,0.6981132075471698,220,
0,late,acr_surv,BAL,c_index,0.4897959183673469,48,
0,late,acr_surv,CT,c_index,0.5615327242215178,437,
0,late,acr_surv,Clinical,c_index,0.5127598822164718,897,
0,late,clad_surv,HE,c_index,0.49127906976744184,115,
0,late,clad_surv,BAL,c_index,0.45789473684210524,28,
0,late,clad_surv,CT,c_index,0.3307979229137717,332,
0,late,clad_surv,Clinical,c_index,0.5658029441875243,642,
0,late,cls,HE,bacc,0.735981308411215,121,0.9395861148197597
0,late,cls,BAL,bacc,0.39285714285714285,25,0.44047619047619047
0,late,cls,CT,bacc,0.5319548872180451,97,0.5272556390977443
0,late,cls,Clinical,bacc,0.49775280898876406,297,0.6832709113607991
0,late,death_surv,HE,c_index,0.528494301139772,117,
0,late,death_surv,BAL,c_index,0.6847826086956522,32,
0,late,death_surv,CT,c_index,0.5681966443128148,375,
0,late,death_surv,Clinical,c_index,0.45189593526533683,683,
0,longitudinal_mk_no_alibi,acr_surv,HE,bacc,0.5564159292035398,254,0.6396965865992416
0,longitudinal_mk_no_alibi,acr_surv,BAL,bacc,0.41538461538461535,78,0.36568047337278103
0,longitudinal_mk_no_alibi,acr_surv,CT,bacc,0.5291271170668156,226,0.5932439977666107
0,longitudinal_mk_no_alibi,acr_surv,Clinical,bacc,0.5605982465188242,312,0.4246518824136153
0,longitudinal_mk_no_alibi,death_surv,HE,c_index,0.3585170622103637,522,
0,longitudinal_mk_no_alibi,death_surv,BAL,c_index,0.524346382625536,178,
0,longitudinal_mk_no_alibi,death_surv,CT,c_index,0.7503696798251254,662,
0,longitudinal_mk_no_alibi,death_surv,Clinical,c_index,0.6544204010369822,757,
0,middle,acr_surv,HE,c_index,0.832318928788801,220,
0,middle,acr_surv,BAL,c_index,0.4489795918367347,48,
0,middle,acr_surv,CT,c_index,0.49137609546895394,437,
0,middle,acr_surv,Clinical,c_index,0.5597059873293477,897,
0,middle,clad_surv,HE,c_index,0.6071428571428571,115,
0,middle,clad_surv,BAL,c_index,0.43157894736842106,28,
0,middle,clad_surv,CT,c_index,0.38693044686608646,332,
0,middle,clad_surv,Clinical,c_index,0.5549828785257881,642,
0,middle,cls,HE,bacc,0.6799065420560748,121,0.777369826435247
0,middle,cls,BAL,bacc,0.34523809523809523,25,0.2976190476190476
0,middle,cls,CT,bacc,0.45708020050125314,97,0.4843358395989975
0,middle,cls,Clinical,bacc,0.5071161048689139,297,0.6587390761548065
0,middle,death_surv,HE,c_index,0.5587882423515297,117,
0,middle,death_surv,BAL,c_index,0.5978260869565217,32,
0,middle,death_surv,CT,c_index,0.5739373222346893,375,
0,middle,death_surv,Clinical,c_index,0.4477167231213148,683,
0,set_mil_mt,acr_surv,HE,c_index,0.6972002434570906,220,
0,set_mil_mt,acr_surv,BAL,c_index,0.4489795918367347,48,
0,set_mil_mt,acr_surv,CT,c_index,0.6411523401081485,437,
0,set_mil_mt,acr_surv,Clinical,c_index,0.5,897,
0,set_mil_mt,clad_surv,HE,c_index,0.6237541528239202,115,
0,set_mil_mt,clad_surv,BAL,c_index,0.6736842105263158,28,
0,set_mil_mt,clad_surv,CT,c_index,0.3220215022306736,332,
0,set_mil_mt,clad_surv,Clinical,c_index,0.5214459702757087,642,
0,set_mil_mt,cls,HE,bacc,0.7793724966622163,121,0.8644859813084111
0,set_mil_mt,cls,BAL,bacc,0.5714285714285714,25,0.5833333333333334
0,set_mil_mt,cls,CT,bacc,0.49655388471177947,97,0.525062656641604
0,set_mil_mt,cls,Clinical,bacc,0.5593632958801498,297,0.5967540574282147
0,set_mil_mt,death_surv,HE,c_index,0.5791841631673665,117,
0,set_mil_mt,death_surv,BAL,c_index,0.7472826086956522,32,
0,set_mil_mt,death_surv,CT,c_index,0.6435821830232498,375,
0,set_mil_mt,death_surv,Clinical,c_index,0.4822011040020073,683,
0,set_mil_mt_no_sab,acr_surv,HE,c_index,0.7057212416311625,220,
0,set_mil_mt_no_sab,acr_surv,BAL,c_index,0.47959183673469385,48,
0,set_mil_mt_no_sab,acr_surv,CT,c_index,0.49445273168002984,437,
0,set_mil_mt_no_sab,acr_surv,Clinical,c_index,0.4541023467475685,897,
0,set_mil_mt_no_sab,clad_surv,HE,c_index,0.6640365448504983,115,
0,set_mil_mt_no_sab,clad_surv,BAL,c_index,0.5789473684210527,28,
0,set_mil_mt_no_sab,clad_surv,CT,c_index,0.39662107803700725,332,
0,set_mil_mt_no_sab,clad_surv,Clinical,c_index,0.6285346136195149,642,
0,set_mil_mt_no_sab,cls,HE,bacc,0.6985981308411215,121,0.855807743658211
0,set_mil_mt_no_sab,cls,BAL,bacc,0.4107142857142857,25,0.22619047619047622
