variant,task,modality,metric,mean,std,count,mean_std,split,value
early,acr_surv,BAL,c_index,0.4433540467469039,0.2066248526428515,5.0,0.443 ± 0.207,,
early,acr_surv,CT,c_index,0.5158307658147767,0.0607377963330115,5.0,0.516 ± 0.061,,
early,acr_surv,Clinical,c_index,0.6049718014623328,0.0978509306369693,5.0,0.605 ± 0.098,,
early,acr_surv,HE,c_index,0.6436199683405175,0.1497092846495829,5.0,0.644 ± 0.150,,
early,clad_surv,BAL,c_index,0.6092105263157894,0.1793154431790846,4.0,0.609 ± 0.179,,
early,clad_surv,CT,c_index,0.4534089282460917,0.065278512756972,5.0,0.453 ± 0.065,,
early,clad_surv,Clinical,c_index,0.6163390550561896,0.0342299948008698,5.0,0.616 ± 0.034,,
early,clad_surv,HE,c_index,0.4852142498612286,0.0782806538987052,5.0,0.485 ± 0.078,,
early,cls,BAL,bacc,0.4827903091060985,0.1005661978327575,5.0,0.483 ± 0.101,,
early,cls,CT,bacc,0.5539792885396725,0.0664813521659942,5.0,0.554 ± 0.066,,
early,cls,Clinical,bacc,0.5284251603144325,0.0702378593787293,5.0,0.528 ± 0.070,,
early,cls,HE,bacc,0.6238289841818881,0.109433307318182,5.0,0.624 ± 0.109,,
early,death_surv,BAL,c_index,0.6418298633199392,0.1137247646220227,5.0,0.642 ± 0.114,,
early,death_surv,CT,c_index,0.6485578213520506,0.0590793872980828,5.0,0.649 ± 0.059,,
early,death_surv,Clinical,c_index,0.5494840066303855,0.0482013149573836,5.0,0.549 ± 0.048,,
early,death_surv,HE,c_index,0.5579370637148726,0.1042345552647908,5.0,0.558 ± 0.104,,
late,acr_surv,BAL,c_index,0.4725158076050933,0.1677384426123166,5.0,0.473 ± 0.168,,
late,acr_surv,CT,c_index,0.5993922796573549,0.0967283331856731,5.0,0.599 ± 0.097,,
late,acr_surv,Clinical,c_index,0.5918001630135489,0.090361875406883,5.0,0.592 ± 0.090,,
late,acr_surv,HE,c_index,0.6753765314861407,0.0845702838026154,5.0,0.675 ± 0.085,,
late,clad_surv,BAL,c_index,0.5839181286549707,0.2011256783893468,4.0,0.584 ± 0.201,,
late,clad_surv,CT,c_index,0.5177647460535212,0.1174406343667867,5.0,0.518 ± 0.117,,
late,clad_surv,Clinical,c_index,0.5880805911704005,0.0447037326617565,5.0,0.588 ± 0.045,,
late,clad_surv,HE,c_index,0.4787416056426025,0.0905908009432698,5.0,0.479 ± 0.091,,
late,cls,BAL,bacc,0.4434837092731829,0.0810676220632443,5.0,0.443 ± 0.081,,
late,cls,CT,bacc,0.5466441870379251,0.0726633174880986,5.0,0.547 ± 0.073,,
late,cls,Clinical,bacc,0.5004456942121168,0.027482663109085,5.0,0.500 ± 0.027,,
late,cls,HE,bacc,0.6543552968386862,0.089326036258927,5.0,0.654 ± 0.089,,
late,death_surv,BAL,c_index,0.6373488948489509,0.1077949841103231,5.0,0.637 ± 0.108,,
late,death_surv,CT,c_index,0.6462102609477853,0.0503234763027637,5.0,0.646 ± 0.050,,
late,death_surv,Clinical,c_index,0.5384904332764349,0.0510910800639659,5.0,0.538 ± 0.051,,
late,death_surv,HE,c_index,0.5605178391499004,0.1254126624608922,5.0,0.561 ± 0.125,,
longitudinal_mk_no_alibi,acr_surv,BAL,bacc,0.4432705967626432,0.0778488248409692,5.0,0.443 ± 0.078,,
longitudinal_mk_no_alibi,acr_surv,CT,bacc,0.5332071979346287,0.0413808145840939,5.0,0.533 ± 0.041,,
longitudinal_mk_no_alibi,acr_surv,Clinical,bacc,0.5325781940904346,0.0370469424702673,5.0,0.533 ± 0.037,,
longitudinal_mk_no_alibi,acr_surv,HE,bacc,0.5800542676647067,0.0470553688871272,5.0,0.580 ± 0.047,,
longitudinal_mk_no_alibi,death_surv,BAL,c_index,0.4997128956179348,0.1127745183712356,5.0,0.500 ± 0.113,,
longitudinal_mk_no_alibi,death_surv,CT,c_index,0.7416052342891424,0.0663639868078137,5.0,0.742 ± 0.066,,
longitudinal_mk_no_alibi,death_surv,Clinical,c_index,0.509664200268527,0.1125415362789974,5.0,0.510 ± 0.113,,
longitudinal_mk_no_alibi,death_surv,HE,c_index,0.4953559892393537,0.1296681235064965,5.0,0.495 ± 0.130,,
middle,acr_surv,BAL,c_index,0.4085512602476888,0.2014613928176792,5.0,0.409 ± 0.201,,
middle,acr_surv,CT,c_index,0.528861728994493,0.0690058581078722,5.0,0.529 ± 0.069,,
middle,acr_surv,Clinical,c_index,0.5977786789580394,0.1083317489733144,5.0,0.598 ± 0.108,,
middle,acr_surv,HE,c_index,0.6652381841449639,0.1389513247967433,5.0,0.665 ± 0.139,,
middle,clad_surv,BAL,c_index,0.5825475146198831,0.226756627598536,4.0,0.583 ± 0.227,,
middle,clad_surv,CT,c_index,0.5056026474771176,0.1070349474516338,5.0,0.506 ± 0.107,,
middle,clad_surv,Clinical,c_index,0.5722891560701078,0.0228726273833813,5.0,0.572 ± 0.023,,
middle,clad_surv,HE,c_index,0.4889582458029221,0.1460637763685331,5.0,0.489 ± 0.146,,
middle,cls,BAL,bacc,0.4258760537707906,0.067876921070951,5.0,0.426 ± 0.068,,
middle,cls,CT,bacc,0.5340286020267669,0.0530329583835936,5.0,0.534 ± 0.053,,
middle,cls,Clinical,bacc,0.5279005906613161,0.0489673952095388,5.0,0.528 ± 0.049,,
middle,cls,HE,bacc,0.594073834307815,0.0694193564004859,5.0,0.594 ± 0.069,,
middle,death_surv,BAL,c_index,0.6246650874988944,0.1258930729514703,5.0,0.625 ± 0.126,,
middle,death_surv,CT,c_index,0.6647676146171685,0.0559652241801069,5.0,0.665 ± 0.056,,
middle,death_surv,Clinical,c_index,0.5493204499121369,0.0597617627024323,5.0,0.549 ± 0.060,,
middle,death_surv,HE,c_index,0.6075213205769698,0.134284608762398,5.0,0.608 ± 0.134,,
set_mil_mt,acr_surv,BAL,c_index,0.3588343799058084,0.2078881989820864,5.0,0.359 ± 0.208,,
set_mil_mt,acr_surv,CT,c_index,0.5589456434817617,0.0700981397825057,5.0,0.559 ± 0.070,,
set_mil_mt,acr_surv,Clinical,c_index,0.5080144799735924,0.0236583959580738,5.0,0.508 ± 0.024,,
set_mil_mt,acr_surv,HE,c_index,0.5116657936581197,0.13731837433826,5.0,0.512 ± 0.137,,
set_mil_mt,clad_surv,BAL,c_index,0.5111293859649123,0.1597530523124537,4.0,0.511 ± 0.160,,
set_mil_mt,clad_surv,CT,c_index,0.4900104355413738,0.1068252961644146,5.0,0.490 ± 0.107,,
set_mil_mt,clad_surv,Clinical,c_index,0.6252482286677146,0.1301426083389688,5.0,0.625 ± 0.130,,
set_mil_mt,clad_surv,HE,c_index,0.4831163960936126,0.1153526895731408,5.0,0.483 ± 0.115,,
set_mil_mt,cls,BAL,bacc,0.514954051796157,0.035248220649446,5.0,0.515 ± 0.035,,
set_mil_mt,cls,CT,bacc,0.535088744369804,0.0683141631839445,5.0,0.535 ± 0.068,,
set_mil_mt,cls,Clinical,bacc,0.5316147219126102,0.0680689621580468,5.0,0.532 ± 0.068,,
set_mil_mt,cls,HE,bacc,0.7189677169954765,0.0412918378368873,5.0,0.719 ± 0.041,,
set_mil_mt,death_surv,BAL,c_index,0.6437699300669495,0.1331464512316113,5.0,0.644 ± 0.133,,
set_mil_mt,death_surv,CT,c_index,0.6635783611906674,0.0296371446615926,5.0,0.664 ± 0.030,,
set_mil_mt,death_surv,Clinical,c_index,0.5771618088222257,0.0557856582899681,5.0,0.577 ± 0.056,,
set_mil_mt,death_surv,HE,c_index,0.5536296266425416,0.104352561664924,5.0,0.554 ± 0.104,,
set_mil_mt_no_sab,acr_surv,BAL,c_index,0.4458328972614687,0.0549585542620259,5.0,0.446 ± 0.055,,
set_mil_mt_no_sab,acr_surv,CT,c_index,0.5424052921747387,0.0912222374326743,5.0,0.542 ± 0.091,,
set_mil_mt_no_sab,acr_surv,Clinical,c_index,0.5538374103095254,0.0703383631125807,5.0,0.554 ± 0.070,,
set_mil_mt_no_sab,acr_surv,HE,c_index,0.7089031028660628,0.0542973691225985,5.0,0.709 ± 0.054,,
set_mil_mt_no_sab,clad_surv,BAL,c_index,0.5325840643274854,0.0447791200536665,4.0,0.533 ± 0.045,,
set_mil_mt_no_sab,clad_surv,CT,c_index,0.4906660209867239,0.0832516038008473,5.0,0.491 ± 0.083,,
set_mil_mt_no_sab,clad_surv,Clinical,c_index,0.6212270570137972,0.0325096746942326,5.0,0.621 ± 0.033,,
set_mil_mt_no_sab,clad_surv,HE,c_index,0.4910011094625958,0.1241369846505179,5.0,0.491 ± 0.124,,
set_mil_mt_no_sab,cls,BAL,bacc,0.4122013366750209,0.1243983099740057,5.0,0.412 ± 0.124,,
set_mil_mt_no_sab,cls,CT,bacc,0.552662897741483,0.1007791914370115,5.0,0.553 ± 0.101,,
set_mil_mt_no_sab,cls,Clinical,bacc,0.54631255882196,0.030389024533995,5.0,0.546 ± 0.030,,
set_mil_mt_no_sab,cls,HE,bacc,0.7182463040027273,0.0867727076817682,5.0,0.718 ± 0.087,,
set_mil_mt_no_sab,death_surv,BAL,c_index,0.5345070694929721,0.2026912450098728,5.0,0.535 ± 0.203,,
set_mil_mt_no_sab,death_surv,CT,c_index,0.6716312610308607,0.0359057651313355,5.0,0.672 ± 0.036,,
set_mil_mt_no_sab,death_surv,Clinical,c_index,0.5448833474786905,0.0547397569207067,5.0,0.545 ± 0.055,,
set_mil_mt_no_sab,death_surv,HE,c_index,0.5728514341080625,0.1259022282645238,5.0,0.573 ± 0.126,,
set_mil_no_sab,acr_surv,BAL,c_index,0.3953087388801674,0.0882426074955798,5.0,0.395 ± 0.088,,
set_mil_no_sab,acr_surv,CT,c_index,0.5128410859709424,0.0911864211974332,5.0,0.513 ± 0.091,,
set_mil_no_sab,acr_surv,Clinical,c_index,0.5653698013282806,0.054205819967063,5.0,0.565 ± 0.054,,
set_mil_no_sab,acr_surv,HE,c_index,0.6897762614469763,0.084681089254019,5.0,0.690 ± 0.085,,
set_mil_no_sab,clad_surv,BAL,c_index,0.5812317251461988,0.0909963603293619,4.0,0.581 ± 0.091,,
set_mil_no_sab,clad_surv,CT,c_index,0.4237443173459825,0.0782589050684387,5.0,0.424 ± 0.078,,
set_mil_no_sab,clad_surv,Clinical,c_index,0.5694006130214053,0.0529701559239672,5.0,0.569 ± 0.053,,
set_mil_no_sab,clad_surv,HE,c_index,0.474183499099257,0.130380101461189,5.0,0.474 ± 0.130,,
set_mil_no_sab,cls,BAL,bacc,0.4263324979114452,0.0825822544013094,5.0,0.426 ± 0.083,,
set_mil_no_sab,cls,CT,bacc,0.5044417318535965,0.0745180313159644,5.0,0.504 ± 0.075,,
set_mil_no_sab,cls,Clinical,bacc,0.5231467123322375,0.0741119113161064,5.0,0.523 ± 0.074,,
set_mil_no_sab,cls,HE,bacc,0.745841890698342,0.1010107048806646,5.0,0.746 ± 0.101,,
set_mil_no_sab,death_surv,BAL,c_index,0.596801785674327,0.1193425847297797,5.0,0.597 ± 0.119,,
set_mil_no_sab,death_surv,CT,c_index,0.6998414664730166,0.0262011654166985,5.0,0.700 ± 0.026,,
set_mil_no_sab,death_surv,Clinical,c_index,0.5041440930367875,0.0781301134937386,5.0,0.504 ± 0.078,,
set_mil_no_sab,death_surv,HE,c_index,0.6107638409353799,0.1390963330785041,5.0,0.611 ± 0.139,,
longitudinal_mk_no_alibi,cls,HE,bacc,,,,,4.0,0.7980769230769231
longitudinal_mk_no_alibi,cls,BAL,bacc,,,,,4.0,0.5
longitudinal_mk_no_alibi,cls,CT,bacc,,,,,4.0,0.6666666666666667
longitudinal_mk_no_alibi,cls,Clinical,bacc,,,,,4.0,0.5
longitudinal_mk_no_alibi,acr_surv,HE,c_index,,,,,4.0,0.6802721088435374
longitudinal_mk_no_alibi,acr_surv,BAL,c_index,,,,,4.0,0.4117647058823529
longitudinal_mk_no_alibi,acr_surv,CT,c_index,,,,,4.0,0.5625
longitudinal_mk_no_alibi,acr_surv,Clinical,c_index,,,,,4.0,0.6870748299319728
longitudinal_mk_no_alibi,clad_surv,HE,c_index,,,,,4.0,0.4642857142857143
longitudinal_mk_no_alibi,clad_surv,BAL,c_index,,,,,4.0,0.6666666666666666
longitudinal_mk_no_alibi,clad_surv,CT,c_index,,,,,4.0,0.4259259259259259
longitudinal_mk_no_alibi,clad_surv,Clinical,c_index,,,,,4.0,0.4642857142857143
longitudinal_mk_no_alibi,death_surv,HE,c_index,,,,,4.0,0.6938775510204082
longitudinal_mk_no_alibi,death_surv,BAL,c_index,,,,,4.0,0.7692307692307693
longitudinal_mk_no_alibi,death_surv,CT,c_index,,,,,4.0,0.8033707865168539
longitudinal_mk_no_alibi,death_surv,Clinical,c_index,,,,,4.0,0.2311111111111111
longitudinal_mk_mt_no_alibi,cls,HE,bacc,,,,,4.0,0.6730769230769231
longitudinal_mk_mt_no_alibi,cls,BAL,bacc,,,,,4.0,0.5
longitudinal_mk_mt_no_alibi,cls,CT,bacc,,,,,4.0,0.4583333333333333
longitudinal_mk_mt_no_alibi,cls,Clinical,bacc,,,,,4.0,0.5
longitudinal_mk_mt_no_alibi,acr_surv,HE,c_index,,,,,4.0,0.7346938775510204
longitudinal_mk_mt_no_alibi,acr_surv,BAL,c_index,,,,,4.0,0.3676470588235294
longitudinal_mk_mt_no_alibi,acr_surv,CT,c_index,,,,,4.0,0.484375
longitudinal_mk_mt_no_alibi,acr_surv,Clinical,c_index,,,,,4.0,0.7006802721088435
longitudinal_mk_mt_no_alibi,clad_surv,HE,c_index,,,,,4.0,0.6071428571428571
longitudinal_mk_mt_no_alibi,clad_surv,BAL,c_index,,,,,4.0,0.6190476190476191
longitudinal_mk_mt_no_alibi,clad_surv,CT,c_index,,,,,4.0,0.3518518518518518
longitudinal_mk_mt_no_alibi,clad_surv,Clinical,c_index,,,,,4.0,0.3035714285714285
longitudinal_mk_mt_no_alibi,death_surv,HE,c_index,,,,,4.0,0.6938775510204082
longitudinal_mk_mt_no_alibi,death_surv,BAL,c_index,,,,,4.0,0.9230769230769232
longitudinal_mk_mt_no_alibi,death_surv,CT,c_index,,,,,4.0,0.8089887640449438
longitudinal_mk_mt_no_alibi,death_surv,Clinical,c_index,,,,,4.0,0.5955555555555555
longitudinal_mk_no_alibi,cls,HE,bacc,,,,,2.0,0.6
longitudinal_mk_no_alibi,cls,CT,bacc,,,,,2.0,0.6666666666666666
longitudinal_mk_no_alibi,cls,Clinical,bacc,,,,,2.0,0.5
longitudinal_mk_no_alibi,acr_surv,HE,c_index,,,,,2.0,0.6
longitudinal_mk_no_alibi,acr_surv,BAL,c_index,,,,,2.0,0.5686274509803921
longitudinal_mk_no_alibi,acr_surv,CT,c_index,,,,,2.0,0.5151515151515151
longitudinal_mk_no_alibi,acr_surv,Clinical,c_index,,,,,2.0,0.6521739130434783
longitudinal_mk_no_alibi,clad_surv,HE,c_index,,,,,2.0,0.5051546391752577
longitudinal_mk_no_alibi,clad_surv,BAL,c_index,,,,,2.0,0.6818181818181818
longitudinal_mk_no_alibi,clad_surv,CT,c_index,,,,,2.0,0.6086956521739131
longitudinal_mk_no_alibi,clad_surv,Clinical,c_index,,,,,2.0,0.3869346733668342
longitudinal_mk_no_alibi,death_surv,HE,c_index,,,,,2.0,0.360759493670886
longitudinal_mk_no_alibi,death_surv,BAL,c_index,,,,,2.0,0.4285714285714285
longitudinal_mk_no_alibi,death_surv,CT,c_index,,,,,2.0,0.8947368421052632
